00:00:00.002929 main     VirtualBox COM Server 7.0.20 r163906 win.amd64 (Jul 10 2024 14:54:08) release log
00:00:00.002930 main     Log opened 2024-08-30T18:45:02.776101400Z
00:00:00.002931 main     Build Type: release
00:00:00.002934 main     OS Product: Windows 11
00:00:00.002935 main     OS Release: 10.0.22631
00:00:00.002936 main     OS Service Pack: 
00:00:00.138942 main     DMI Product Name: KLVL-WXX9
00:00:00.152071 main     DMI Product Version: M1140
00:00:00.152086 main     Firmware type: UEFI
00:00:00.152358 main     Secure Boot: VERR_PRIVILEGE_NOT_HELD
00:00:00.152378 main     Host RAM: 15741MB (15.3GB) total, 5096MB (4.9GB) available
00:00:00.152381 main     Executable: C:\Program Files\Oracle\VirtualBox\VBoxSVC.exe
00:00:00.152382 main     Process ID: 23636
00:00:00.152382 main     Package type: WINDOWS_64BITS_GENERIC
00:00:00.247493          VirtualBox: object creation starts
00:00:00.247710          Home directory: 'C:\Users\MrGal\.VirtualBox'
00:00:00.247834          Installed Drivers:
00:00:00.254037            C:\WINDOWS\system32\DRIVERS\VBoxSup.sys (Version: 7.0.20.13906)
00:00:00.254300            C:\WINDOWS\system32\DRIVERS\VBoxUSBMon.sys (Version: 7.0.20.13906)
00:00:00.254549            C:\WINDOWS\system32\DRIVERS\VBoxNetAdp6.sys (Version: 7.0.20.13906)
00:00:00.254791            C:\WINDOWS\system32\DRIVERS\VBoxNetLwf.sys (Version: 7.0.20.13906)
00:00:00.255141          Loading settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:00.259079          usbLibGetDevices: Starting USB device enumeration
00:00:00.259343          Getting USB descriptor (id 0) failed (dwErr=31) on hub USB#ROOT_HUB30#5&2cd76fd2&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} port 4
00:00:00.282337          Getting USB descriptor (id 0) failed (dwErr=31) on hub USB#ROOT_HUB30#5&143e4828&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} port 3
00:00:00.282469          Getting USB descriptor (id 0) failed (dwErr=31) on hub USB#ROOT_HUB30#5&143e4828&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} port 4
00:00:00.283437          usbLibGetDevices: Found 7 USB devices, 0 captured
00:00:00.283501          USB: Unknown USB device detected (idVendor: 0x1358, idProduct: 0xc123)
00:00:00.283526          USB: Unknown USB device detected (idVendor: 0x13d3, idProduct: 0x56db)
00:00:00.283539          USB: Unknown USB device detected (idVendor: 0x27c6, idProduct: 0x5110)
00:00:00.379097          netIfIsWireless: CreateFile on '\\.\{78E51EF2-9975-4A75-8F56-227CDE0E54A1}' failed with rcWin=2 (0x2) - ignoring
00:00:00.386430          HostDnsMonitor: initializing
00:00:00.396197          HostDnsMonitor: updating information
00:00:00.396227          HostDnsMonitor: old information
00:00:00.396227            no server entries
00:00:00.396228            no domain set
00:00:00.396228            no search string entries
00:00:00.396229          HostDnsMonitor: new information
00:00:00.396229            server 1: 192.168.1.254
00:00:00.396230            no domain set
00:00:00.396230            no search string entries
00:00:00.398177          VD: VDInit finished with VINF_SUCCESS
00:00:00.399803          Loading settings file "C:\Users\MrGal\VirtualBox VMs\Debian\Debian.vbox" with version "1.19-windows"
00:00:00.400795          VirtualBox: object created
00:00:00.488924          Saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:00.491543          Finished saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml"
00:00:00.491991          Saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:00.494526          Finished saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml"
00:00:00.494752          Saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:00.496979          Finished saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml"
00:00:01.340415          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:00:35.894468 createBase Saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:35.898574 createBase Finished saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml"
00:00:35.906690          Saving settings file "C:\Users\MrGal\VirtualBox VMs\Debian 2\Debian 2.vbox" with version "1.19-windows"
00:00:35.909528          Finished saving settings file "C:\Users\MrGal\VirtualBox VMs\Debian 2\Debian 2.vbox"
00:00:35.909678          Saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:35.912130          Finished saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml"
00:00:35.915982          Saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:35.919371          Finished saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml"
00:00:35.920965          Saving settings file "C:\Users\MrGal\VirtualBox VMs\Debian 2\Debian 2.vbox" with version "1.19-windows"
00:00:35.923625          Finished saving settings file "C:\Users\MrGal\VirtualBox VMs\Debian 2\Debian 2.vbox"
00:00:35.947046          Saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:35.950285          Finished saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml"
00:00:35.986732          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:00:38.165702          Saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:38.177078          Finished saving settings file "C:\Users\MrGal\.VirtualBox\VirtualBox.xml"
00:00:38.187093          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:00:39.883064          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine.}, preserve=false aResultDetail=0
